id,name,link,blurb
1,Elijah McClain Memorial Fund,https://www.gofundme.com/f/elijah-mcclain,"Donations will go toward supporting the family of Elijah McClain."
2,Act Blue Racism and Police Brutality Funds,https://secure.actblue.com/donate/ab_mn,"Single donations will be split between multiple organizations with the ability to adjust what goes where."
3,Minnesota Rapid Response Coalition; Twin Cities- Minnesota,https://wearemrrc.com/,"Donations will go toward rebuilding businesses and other parts of Black communities where protests have occurred and/or have been hit particularly hard by the coronavirus pandemic."
4,BLM,https://secure.actblue.com/donate/ms_blm_homepage_2019,"Join the Movement to fight for Freedom, Liberation and Justice by donating."
5,The Bail Project,https://secure.givelively.org/donate/the-bail-project,"The Bail Project National Revolving Bail Fund is a critical tool to prevent incarceration and combat racial and economic disparities in the bail system."
6,The Liberty Fund, https://www.classy.org/give/204448/#!/donation/checkout, "You can help fix a broken piece of NYC\’s criminal justice system. Your donation will help The Liberty Fund adapt to sweeping criminal justice reform in New York with a proactive and practical response through our Charitable Bail Program and our ROR (Released On Recognizance) Program."
