id,name,link,blurb
1,Elijah McClain Memorial Fund,https://www.gofundme.com/f/elijah-mcclain,Donations will go toward supporting the family of Elijah McClain
2,Act Blue Racism and Police Brutality Funds,https://secure.actblue.com/donate/ab_mn,Single donations will be split between multiple organizations with the ability to adjust what goes where.
3,Minnesota Rapid Response Coalition; Twin Cities- Minnesota,https://wearemrrc.com/,Donations will go toward rebuilding businesses and other parts of Black communities where protests have occurred and/or have been hit particularly hard by the coronavirus pandemic.
4,Charity name,link,blurb
5,Add more,link,in the csv file
